Date,Temperature (°C),Humidity (%),Conditions,Wind Speed (km/h)
2025-06-04,26.3,62.7,"Rain, Partially cloudy",22.3
2025-06-05,28.5,52.9,"Rain, Partially cloudy",23.2
2025-06-06,32.8,47.6,Partially cloudy,22.3
2025-06-07,35.5,37.4,Partially cloudy,24.1
2025-06-08,36.8,27.6,Clear,22.3
2025-06-09,37.3,23.6,Clear,24.1
2025-06-10,37.7,22.2,Clear,24.1
2025-06-11,37.9,23.7,Clear,22.3
2025-06-12,38.4,21.2,Clear,15.8
2025-06-13,38.2,32.5,Partially cloudy,27.7
2025-06-14,36.0,38.7,"Rain, Partially cloudy",27.7
2025-06-15,33.3,52.5,"Rain, Partially cloudy",33.5
2025-06-16,30.3,68.8,"Rain, Partially cloudy",24.1
2025-06-17,28.2,80.0,"Rain, Partially cloudy",22.3
2025-06-18,30.1,67.5,"Rain, Partially cloudy",18.4
