"video_id","title","published_at","view_count","like_count","channel_title"
"__eXZrVuNUk","Chicken Manchow Soup | चिकन मनचाऊ सूप | Monsoon ka Mazza | Episode 38 | Sanjeev Kapoor Khazana","2023-07-30 05:30:11","23104","339","Sanjeev Kapoor Khazana "
"__H1nUvwfig","Simple Masala Chicken | Sanjeev Kapoor Khazana","2015-03-16 07:21:24","3666523","23805","Sanjeev Kapoor Khazana "
"__JznvocUIM","Tariwale Chane |  तरीवाले चने |  Sanjeev Kapoor Khazana","2019-12-19 05:30:01","25462","342","Sanjeev Kapoor Khazana "
"__PA6z7jNZA","Combining two exciting dishes to satiate #SoulfulSunday cravings!🔥","2024-03-31 05:30:08","7713","305","Sanjeev Kapoor Khazana "
"__zxZQqOvSM","Taftan | 21 Indian Breads To Try Before You Die | Sanjeev Kapoor Khazana","2018-02-21 11:30:01","31457","545","Sanjeev Kapoor Khazana "
"_-flS8g66i8","सूजी का हल्का नाश्ता कम तेल में | Sooji Nasta Recipe | Breakfast Recipe | Uttapam Recipe | Kabita","2020-08-27 13:20:55","1035295","22426","Kabita's Kitchen"
"_-HF3oONySw","how to make rice flour, besan flour, maida (plain flour) at home | basic indian flour recipes","2020-08-19 13:07:01","999899","15004","Hebbars Kitchen"
"_-HMAcTxcjA","Cookies And Cream Parfait | The Dessert Queen - Neelanjali | Sanjeev Kapoor Khazana","2016-12-13 12:23:40","12178","252","Sanjeev Kapoor Khazana "
"_-KvR28VT80","घर में बिना मशीन हाथ से ढेरसारी परतो वाली सोन पापड़ी 1दम आसन| Soan Papdi Ki Recipe | Quick Soan Papdi","2022-10-20 08:45:47","3830085","48722","CookwithParul"
"_-MjeoxcYNA","मटन कोळा उरंडाई | Mutton Kola Urundai  | Sanjeev Kapoor Khazana","2021-03-23 08:30:05","7795","322","Sanjeev Kapoor Khazana "
"_-MtTHNai60","Stuffed Croissant | Bakery | Sanjeev Kapoor Khazana","2015-06-12 14:30:00","5187","30","Sanjeev Kapoor Khazana "
"_0EvNjYD7lQ","Kim Bap | Gimbap | Korean Rice Rolls | Korean Recipes | Sanjeev Kapoor Khazana","2024-01-09 04:30:19","10966","269","Sanjeev Kapoor Khazana "
"_0h2oTQAWQc","पानपुरी का ठंडा चटपटा तीखा और खट्टा मीठा पानी बनाने केसारे राज| PANI PURI KA PANI KAISE BANATE HAIN","2025-02-28 09:39:58","254416","2518","CookwithParul"
"_0NKbYXv-PI","Pinacolada | Drink It Easy 2.0 | #HappyNewYear | Cocktails at Home | Sanjeev Kapoor Khazana","2022-12-29 08:30:15","263171","2227","Sanjeev Kapoor Khazana "
"_0Nl24mdC_0","Butter Chicken Pizza | बटर चिकन पिज़्ज़ा बनाने का तरीका | Pizza at Home | Sanjeev Kapoor Khazana","2023-04-22 08:30:08","7774","219","Sanjeev Kapoor Khazana "
"_0qU830zIBw","Penne in Thousand Island","2012-06-27 09:43:31","11734","80","Sanjeev Kapoor Khazana "
"_1dRMhYg7_Y","अचानक आए मेहमान तो झटपट बनायें पनीर की ये रेसिपी | Paneer Tawa Fry | Paneer Starter | Kabitaskitchen","2023-10-03 08:31:46","286358","4869","Kabita's Kitchen"
"_1Dv6O2IgLs","Lauki Raita | लौकी रायता | Sanjeev Kapoor Khazana","2022-07-27 08:30:11","149535","1746","Sanjeev Kapoor Khazana "
"_1eTaB2m98c","Rose Milk Recipe in Tamil | Badam Milk recipe in Tamil | Badam Kheer | Summer drinks Recipe","2020-04-29 05:30:05","2320220","29705","Madras Samayal"
"_1kxBKHrtaA","Tasty, cheesy, aur healthy teeno milega yahaan!🤩 Click on the play button below to watch full recipe","2024-01-04 07:30:14","6141","251","Sanjeev Kapoor Khazana "
"_1UbE7uV9Vc","Mixed Vegetable |  Sanjeev Kapoor Khazana","2019-04-23 05:30:02","247875","2840","Sanjeev Kapoor Khazana "
"_1wfKOjLv30","Super Healthy Salad With Chef Dr Bindu Sthalekar","2012-08-03 09:55:12","739841","7372","Sanjeev Kapoor Khazana "
"_2_Ov8_5EX4","Instant Spot Idli - Trending Recipe Hyderabadi Street Style | Quick & Easy Spicy Idli on Tawa","2023-01-11 08:31:06","408456","2787","Hebbars Kitchen"
"_2-8gT-tPYs","Quinoa and Oats Cake | #LockdownDiaries | Riiya Ganatra | #FansAtHome | Sanjeev Kapoor Khazana","2020-07-12 04:44:28","3151","59","Sanjeev Kapoor Khazana "
"_267FGI6sXM","Simple and Delicious Fish Fry-Rohu Fish Fry-Bengali Maach Bhaja Recipe-Bengali Fish Fry","2015-04-11 11:56:41","3450766","29919","Kabita's Kitchen"
"_2cLg7nJ6yg","Indo Chinese Chopsuey | Sanjeev Kapoor Khazana","2013-10-21 10:04:31","47604","184","Sanjeev Kapoor Khazana "
"_2dMqJHOYA8","SHAHI TUKDA RECIPE | 10 मिनट में घर की चीज़ों से आसान जबरदस्त मिठाई | SHAHI TUKDA BANANE KA TARIKA","2025-03-08 09:41:49","164969","4918","CookwithParul"
"_2hhJPAprSc","Chocolate And Pistcahio Fudge | The Dessert Queen - Neelanjali | Sanjeev Kapoor Khazana","2017-06-13 11:30:00","13220","292","Sanjeev Kapoor Khazana "
"_2LS9C9g2J4","Chana Dal Namkeen | Sanjeev Kapoor Khazana","2018-02-09 08:30:01","30538","388","Sanjeev Kapoor Khazana "
"_2uCGtn7l-E","Shaami Kabab | Sanjeev Kapoor Khazana","2018-05-17 05:30:02","147384","1823","Sanjeev Kapoor Khazana "
"_2uVls2QfN8","Mumbai's ULTIMATE Deep Dish Pizza & Street Food FEAST! Pani Puri, Kulche & More | Veggie Paaji","2025-05-11 08:46:12","201768","4492","Veggie Paaji"
"_2xaco9CfgU","Green Garlic Pesto | हरा लहसुन पेस्टो | Winter ka Tadka | Winter Recipes | Sanjeev Kapoor Khazana","2024-01-21 09:30:17","6944","206","Sanjeev Kapoor Khazana "
"_2xBBJOl-F4","Best Gujarati Thali in Vadodara | Veggie Paaji","2023-05-26 14:48:43","192349","6065","Veggie Paaji"
"_2xqO99uPpA","Videsi Night Street Food in Rohini Delhi | Veggie Paaji","2023-10-15 07:00:24","303963","7909","Veggie Paaji"
"_32Ffhr2P80","Moong Dal ke Fingers","2011-04-19 09:04:50","628750","2409","Sanjeev Kapoor Khazana "
"_32XrnoCsHI","Rajma Masala | Simple Vegetarian Khana With Chef Saurabh | Sanjeev Kapoor Khazana","2017-03-06 11:30:00","11817","208","Sanjeev Kapoor Khazana "
"_3r3D1h_pIk","Khandvi | घर पर खांडवी कैसे बनाये | Family Food Tales | Alyona Kapoor | Sanjeev Kapoor Khazana","2023-09-01 11:30:23","49079","409","Sanjeev Kapoor Khazana "
"_4_-JxplZxY","चॉकलेट फ्रेंच टोस्ट | Chocolate French Toast | Chocolate Recipes | Sanjeev Kapoor Khazana","2022-02-20 11:30:08","14846","458","Sanjeev Kapoor Khazana "
"_456iA5lznk","Vegetarian Bengali Food? YES. Bijoli Grill (Delhi State Bhavan Canteen Series)","2018-04-11 16:10:34","22943","529","Veggie Paaji"
"_48ZEdLxuBs","रेस्टॉरेंट जैसा वेज चिली मिली घर पे कैसे बनायें | Veg Chilli milli recipe | Mix Veg Recipe by kabita","2024-08-17 06:21:53","38267","1344","Kabita's Kitchen"
"_4DGvHdBSq4","मिनटों में बनाये मजेदार पिज़्ज़ा सैंडविच | Pizza Sandwich Recipe | Bread Pizza | KabitasKitchen","2018-05-08 05:06:33","177787","6570","Kabita's Kitchen"
"_4qWVrsQHM0","hot dog recipes | 2 ways desi veg hot dog | homemade aloo paneer hot dog | quick easy hot dog recipe","2020-09-01 12:31:40","709899","12169","Hebbars Kitchen"
"_4RavSpxmNQ","Healthy Samosa | Sanjeev Kapoor Khazana","2018-09-23 08:30:00","243544","2861","Sanjeev Kapoor Khazana "
